person_id,team_id,role
1,601,Development Lead
2,602,Financial Analyst
3,603,Design Lead
4,604,Research Scientist
5,605,Consulting Manager
6,606,Data Analyst
7,607,Innovation Specialist
8,608,Sustainable Energy Engineer
9,609,Smart City Specialist
10,610,Robotics Engineer
11,611,Medical Researcher
12,612,Supply Chain Analyst
13,613,AI Integration Specialist
14,614,Sustainability Researcher
15,615,Space Exploration Scientist
16,616,FinTech Developer
17,617,VR Experience Designer
18,618,Agile Developer
19,619,Health and Wellness App Developer
20,620,Blockchain Developer
21,621,Smart Agriculture Specialist
22,622,Data Scientist
23,623,Advanced Manufacturing Engineer
24,624,Inclusive Design Specialist
25,625,Financial Inclusion Analyst
26,626,Green Energy Innovator
27,627,Smart Mobility Developer
28,628,Human-AI Collaboration Researcher
29,629,E-commerce Innovator
30,630,Quantum Computing Researcher
31,631,Future of Work Specialist
32,632,Autonomous Vehicles Engineer
33,633,Climate Change Mitigation Specialist
34,634,Smart Grid Engineer
35,635,Global Health Technology Researcher
36,636,Space Colonization Researcher
37,637,Inclusive Education Specialist
38,638,Blockchain for Social Impact Developer
39,639,Smart Home Automation Developer
40,640,Robotics in Education Developer
41,641,AR Applications Developer
42,642,Data Privacy and Security Specialist
43,643,Retail Technology Innovator
44,644,Renewable Energy Solutions Engineer
45,645,Cybersecurity Awareness Specialist
46,646,Smart City Infrastructure Developer
47,646,Sustainable Fashion Innovator
48,646,Remote Collaboration Tools Developer
49,646,Biotechnology Advancements Researcher
49,656,Green Transportation Solutions Engineer
